,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
82,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
83,Riyadh,   حي الروضة ,جنوب,352.00,30.00,7.00,5.00,2.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,80000.00,"الجزء الاول (يوجد جزء ثاني وثالث اخير )
========================= 


فيلا مجددة بالكامل( درج بالصالة ) للايجار :

فيلا (درج بالصالة) مجددة بالكامل حديثة التشطيب من اسقف جبسية ودهانات مختارة وادوات صحية وبلاط .

وتتكون الفيلا من ( 3 مداخل رئيسية خارجي..."
87,Riyadh,   حي العارض ,جنوب,300.00,0.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,85000.00,"للإيجار فيلا  درج داخلي في حي العارض

300م  شارع 20م  جنوبي

- مستخدمة 6 أشهر فقط 
- مدخل سيارة 
- غرفة سائق 
- مطبخ ومكيفات راكبه 

الدور الأرضي: مجلس. مقلط . صاله . مطبخ . مستودع .غرفة خدامة
الدور الأول: 4 غرف نوم وصالة كبيرة 

آجار : 85،000 ريال 
..."
89,Riyadh,   حي العزيزية ,جنوب,312.00,4.00,5.00,5.00,2.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,90000.00,السعر للايجار مع الاثاث و بدون الاثاث ٨٠٠٠٠ ريال
94,Riyadh,   حي القادسية ,غرب,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,55000.00,ايجار فيلا دبلكس حي القادسية الدور الاول مجلس مقلط مشب صاله غرفة كبار سن مطبخ الدور الثاني ٤ غرف نوم
95,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
97,Riyadh,   حي المونسية ,جنوب,312.00,0.00,3.00,4.00,2.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,65000.00,"فيلا للايجار في المونسية جديدة 
قريبة من الخدمات"
102,Riyadh,"   حي الفيحاء ",4 شوارع,360.00,0.00,4.00,3.00,2.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,75000.00,فيلل داخل كمبوند للايجار  ٣غرف نوم ومجلس وصاله  حدائق  حمام سباحه صاله العاب رياضية حراسة وكاميرات  مراقبة
105,Riyadh,   حي المهدية ,جنوب,250.00,0.00,5.00,5.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,50000.00,فلل للايجار في حي المهديه
106,Riyadh,   حي الرمال ,شمال شرقي,350.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,55000.00,"فيلا للايجار في حي الرمال الذهبي
شارعين 15 شمالي 20 شرقي
تتكون من مدخل سياره+مشب + مجلس + مغلط+ صالة+ غرف كبار السن
الدور الاول اربع غرف نوم 
في السطح غرفه شغاله
سنوي ب 55000 الف الدفع كل سته اشهر 27000 الف"
109,Riyadh,   حي النرجس ,شرق,260.00,0.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,100000.00,"فيلا للايجار في حي النرجس قريب من المطار
وقريب من طريق الملك سلمان
الفيلا جديد استخدام سنه فقط
تتكون الفيلا من الدور الأرضي مجلس الرجال وصاله ومطبخ و٢حمام
الدور الاول ٣غرف نوم
السطح غرفة خادمه وسطح
السعر ١١٠ الف قابل للتفاوض"
111,Riyadh,   حي العارض ,شرق,250.00,2.00,4.00,5.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,85000.00,"للايجار فيلا في حي العارض دبلكس 
مكونه من الدور الارضي 
مجلس ومقلط وصاله ومطبخ 
وحوش جانبي ومستودع و٢دورات مياه 
الدور العلوي مكون من 
٣غرف نوم منهم غرفه مستر 
وغرفتين نوم بينهم دوره مياه 
السطح يوجد غرفه شغاله بدوره مياه 
وغرفه غسيل 
وغرفه اضافيه 
و..."
112,Riyadh,   حي العارض ,شمال,250.00,0.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,80000.00,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
116,Riyadh,   حي اليرموك ,شمال,300.00,10.00,4.00,3.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,65000.00,"فيلا للايجار بحي اليرموك 🏕
مساحه ٣٠٠م شارع ٢٠م شمال 🏕

٤ غرف نوم و ٣ دورات مياه و مجلس 🏕
مدخل سياره ومقاط و غرف خادم و غرف سائق 🏕
مع السطح و مطبخ و مستخدم ١٠ سنوات 🏕

ايجار ٦٥ الف ريال سنوي 🏕"
118,Riyadh,   حي العارض ,شرق,300.00,2.00,5.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,85000.00,"للايجار فيلا دوبلكس في حي العارض 
الفيلا مكون من مجلس ومقلط وصاله 
وحوش ومستودع و٢دورات مياء ومطبخ راكب ومكيفات راكبه 
والدور العلوي في ٣غرف نوم منهم واحده ماستر وغرفتين بنهم دورات مياه والسطح في مجلس وغرفه شغاله وغرفة غسيل وسطح كبير السعر ٨٥الف"
120,Riyadh,   حي عليشة ,جنوب شرقي,340.00,0.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,55000.00,"🌷مجمع فلل جديده للايجار السنوي
فرصه للاطباء وموظفي مدينة الملك سعود الطبيه
📍يوجد فيلا دور ارضي
يتكون من / 
مجلس رجال + مقلط +صاله + غرفتين نوم
 +مطبخ + دورتين مياه +حوش + كراج👍 
 👍مدخل خاص + غرفة سائق
***************
📍دور علوي مدخل خاص
 يتكون / ..."
